t, Pond Storage (m3),t, Pond Outflow (m3/day),t, Pond Inflow (m3/day),t, Rain (mm/day)
40181.45000,0,40181.45000,0,40181.45000,0,40181.45000,0
40181.46000,0,40181.46000,0,40181.46000,0,40181.46000,0
40181.47000,0,40181.47000,0,40181.47000,0,40181.47000,0
40181.48000,0,40181.48000,0,40181.48000,0,40181.48000,0
40181.49000,0,40181.49000,0,40181.49000,0,40181.49000,0
40181.50000,0,40181.50000,0,40181.50000,0,40181.50000,0
40181.51000,0,40181.51000,0,40181.51000,0,40181.51000,0
40181.52000,0,40181.52000,0,40181.52000,0,40181.52000,0
40181.53000,0,40181.53000,0,40181.53000,0,40181.53000,0
40181.54000,0,40181.54000,0,40181.54000,0,40181.54000,0
40181.55000,0,40181.55000,0,40181.55000,0,40181.55000,0
40181.56000,0,40181.56000,0,40181.56000,0,40181.56000,0
40181.57000,0,40181.57000,0,40181.57000,0,40181.57000,0
40181.58000,0,40181.58000,0,40181.58000,0,40181.58000,0
40181.59000,0,40181.59000,0,40181.59000,0,40181.59000,0
40181.60000,0,40181.60000,0,40181.60000,0,40181.60000,0
40181.61000,0,40181.61000,0,40181.61000,0,40181.61000,0
40181.62000,0,40181.62000,0,40181.62000,0,40181.62000,0
40181.63000,0,40181.63000,0,40181.63000,0,40181.63000,0
40181.64000,0,40181.64000,0,40181.64000,0,40181.64000,0
40181.65000,0,40181.65000,0,40181.65000,0,40181.65000,0
40181.66000,0,40181.66000,0,40181.66000,0,40181.66000,0
40181.67000,0,40181.67000,0,40181.67000,0,40181.67000,0
40181.68000,0,40181.68000,0,40181.68000,0,40181.68000,0
40181.69000,0,40181.69000,0,40181.69000,0,40181.69000,0
40181.70000,0,40181.70000,0,40181.70000,0,40181.70000,0
40181.71000,0,40181.71000,0,40181.71000,0,40181.71000,0
40181.72000,0,40181.72000,0,40181.72000,0,40181.72000,0
40181.73000,0,40181.73000,0,40181.73000,0,40181.73000,0
40181.74000,0,40181.74000,0,40181.74000,0,40181.74000,0
40181.75000,0,40181.75000,0,40181.75000,0,40181.75000,0
40181.76000,0,40181.76000,0,40181.76000,0,40181.76000,0
40181.77000,0,40181.77000,0,40181.77000,0,40181.77000,0
40181.78000,0,40181.78000,0,40181.78000,0,40181.78000,0
40181.79000,0,40181.79000,0,40181.79000,0,40181.79000,0
40181.80000,0,40181.80000,0,40181.80000,0,40181.80000,0
40181.81000,0,40181.81000,0,40181.81000,0,40181.81000,0
40181.82000,0,40181.82000,0,40181.82000,0,40181.82000,0
40181.83000,0,40181.83000,0,40181.83000,0,40181.83000,0
40181.84000,0,40181.84000,0,40181.84000,0,40181.84000,0
40181.85000,0,40181.85000,0,40181.85000,0,40181.85000,0
40181.86000,0,40181.86000,0,40181.86000,0,40181.86000,0
40181.87000,0,40181.87000,0,40181.87000,0,40181.87000,0
40181.88000,0,40181.88000,0,40181.88000,0,40181.88000,0
40181.89000,0,40181.89000,0,40181.89000,0,40181.89000,0
40181.90000,0,40181.90000,0,40181.90000,0,40181.90000,0
40181.91000,0,40181.91000,0,40181.91000,0,40181.91000,0
40181.92000,0,40181.92000,0,40181.92000,0,40181.92000,0
40181.93000,0,40181.93000,0,40181.93000,0,40181.93000,0
40181.94000,0,40181.94000,0,40181.94000,0,40181.94000,0
40181.95000,0,40181.95000,0,40181.95000,0,40181.95000,0
40181.96000,0,40181.96000,0,40181.96000,0,40181.96000,0
40181.97000,0,40181.97000,0,40181.97000,0,40181.97000,0
40181.98000,0,40181.98000,0,40181.98000,0,40181.98000,0
40181.99000,0,40181.99000,0,40181.99000,0,40181.99000,0
40182.00000,0,40182.00000,0,40182.00000,0,40182.00000,0
40182.01000,0,40182.01000,0,40182.01000,0,40182.01000,0
40182.02000,0,40182.02000,0,40182.02000,0,40182.02000,0
40182.03000,0,40182.03000,0,40182.03000,0,40182.03000,0
40182.04000,0,40182.04000,0,40182.04000,0,40182.04000,0
40182.05000,0,40182.05000,0,40182.05000,0,40182.05000,0
40182.06000,0,40182.06000,0,40182.06000,0,40182.06000,0
40182.07000,0,40182.07000,0,40182.07000,0,40182.07000,0
40182.08000,0,40182.08000,0,40182.08000,0,40182.08000,0
40182.09000,0,40182.09000,0,40182.09000,0,40182.09000,0
40182.10000,0,40182.10000,0,40182.10000,0,40182.10000,0
40182.11000,0,40182.11000,0,40182.11000,0,40182.11000,0
40182.12000,0,40182.12000,0,40182.12000,0,40182.12000,0
40182.13000,0,40182.13000,0,40182.13000,0,40182.13000,0
40182.14000,0,40182.14000,0,40182.14000,0,40182.14000,0
40182.15000,0,40182.15000,0,40182.15000,0,40182.15000,0
40182.16000,0,40182.16000,0,40182.16000,0,40182.16000,0
40182.17000,0,40182.17000,0,40182.17000,0,40182.17000,0
40182.18000,0,40182.18000,0,40182.18000,0,40182.18000,0
40182.19000,0,40182.19000,0,40182.19000,0,40182.19000,0
40182.20000,0,40182.20000,0,40182.20000,0,40182.20000,0
40182.21000,0,40182.21000,0,40182.21000,0,40182.21000,0
40182.22000,0,40182.22000,0,40182.22000,0,40182.22000,0
40182.23000,0,40182.23000,0,40182.23000,0,40182.23000,0
40182.24000,0,40182.24000,0,40182.24000,0,40182.24000,0
40182.25000,0,40182.25000,0,40182.25000,0,40182.25000,0
40182.26000,0,40182.26000,0,40182.26000,0,40182.26000,0
40182.27000,0,40182.27000,0,40182.27000,0,40182.27000,0
40182.28000,0,40182.28000,0,40182.28000,0,40182.28000,0
40182.29000,0,40182.29000,0,40182.29000,0,40182.29000,0
40182.30000,0,40182.30000,0,40182.30000,0,40182.30000,0
40182.31000,0,40182.31000,0,40182.31000,0,40182.31000,0
40182.32000,0,40182.32000,0,40182.32000,0,40182.32000,0
40182.33000,0,40182.33000,0,40182.33000,0,40182.33000,0
40182.34000,0,40182.34000,0,40182.34000,0,40182.34000,0
40182.35000,0,40182.35000,0,40182.35000,0,40182.35000,0
40182.36000,0,40182.36000,0,40182.36000,0,40182.36000,0
